sale.amount	sale.date	occupancy	style	built	bedrooms	bsmt	ac	attic	area.base	area.add	area.bsmt	area.garage1	area.garage2	area.living	area.lot	lon	lat	assessed
300000	3/11/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1976	4	Full	Yes	None	952	316	0	512	0	2472	158123	-91.526534	41.657825	303010
280000	3/15/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1999	5	Full	Yes	None	1122	28	700	484	0	2546	17225	-91.490502	41.629013	304160
143000	3/18/2005	113 (Condominium)	Split Foyer Frame	1993	2	Full	Yes	None	938	0	225	0	0	938	4293	-91.576044	41.649237	129510
186500	3/21/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1969	5	Full	Yes	None	484	620	250	0	0	1588	8580	-91.575998	41.648954	174310
99000	3/22/2005	116 (Zero Lot Line)	1 Story Frame	1994	2	None	Yes	None	988	0	0	264	0	988	8316	-91.490949	41.63025	102360
87500	3/25/2005	113 (Condominium)	1 Story Condo	2002	2	None	Yes	None	906	0	0	0	220	906	2563	-91.490949	41.63025	85650
92000	3/30/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	1930	2	Full	No	Floor & Stairs	771	0	0	0	0	771	3780	-91.504544	41.63637	83830
152900	3/30/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1973	4	Full	Yes	None	1092	0	700	520	0	1092	10125	-91.522793	41.637048	148120
132500	3/31/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1968	3	Full	Yes	None	1060	0	670	364	0	1060	9867	-91.512904	41.650228	132990
78500	4/1/2005	113 (Condominium)	2 Story Frame	1972	2	Full	Yes	None	513	0	250	0	0	1026	2653	-91.57625	41.655619	98950
185000	4/1/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1984	3	Full	Yes	None	1232	0	700	484	0	1232	9378	-91.483145	41.656364	177770
118500	4/1/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1981	3	None	Yes	None	1140	0	0	320	0	1140	6600	-91.576857	41.64339	118390
143000	4/5/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1981	3	Full	Yes	None	1028	0	300	0	0	1028	16905	-91.565618	41.639181	137690
325000	4/7/2005	101 (Single-Family / Owner Occupied)	1 Story Brick	2001	6	Full	Yes	None	1678	0	1650	728	0	1678	14060	-91.525333	41.6648	317400
183000	4/8/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1958	4	Full	No	None	1390	0	700	336	0	1390	7592	-91.480544	41.659865	186860
99500	4/8/2005	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	867	0	0	0	440	867	5974	-91.524455	41.674661	99440
101500	4/8/2005	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	901	0	0	0	440	901	5974	-91.561785	41.643311	100260
163900	4/8/2005	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	1410	0	0	506	0	1410	5974	-91.501937	41.667947	155510
194900	4/12/2005	113 (Condominium)	1 Story Frame	2002	3	Full	Yes	None	1224	0	950	420	0	1224	5368	-91.528051	41.651254	184930
182000	4/13/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1998	5	Full	Yes	None	1096	0	800	480	0	1096	9104	-91.513732	41.647296	188020
105000	4/14/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1952	3	None	Yes	None	864	0	0	0	0	864	7420	-91.498472	41.647291	87970
257000	4/15/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	2002	3	Full	Yes	None	1807	0	50	851	0	1807	20580	-91.572616	41.646597	271480
159900	4/18/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1974	4	Full	Yes	None	1040	0	500	572	0	1040	12350	-91.526534	41.657825	160180
129500	4/19/2005	113 (Condominium)	1 Story Frame	1994	3	None	Yes	None	1292	0	0	0	0	1292	4756	-91.492184	41.64728	119370
166000	4/22/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1978	3	Full	Yes	None	1276	0	350	0	320	1276	7840	-91.494797	41.649749	171330
132000	4/26/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1960	4	Full	Yes	None	864	0	384	288	0	864	8520	-91.572576	41.646624	129270
91400	4/26/2005	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	906	0	0	0	220	906	2563	-91.526534	41.657825	87290
317500	4/27/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	2003	4	Full	Yes	None	1462	195	1162	756	0	1657	16818	-91.57838	41.653789	299720
134500	4/28/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1964	5	Full	Yes	None	999	0	800	0	484	999	7360	-91.509532	41.65906	136340
305000	4/29/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	4	3/4	Yes	None	960	128	0	0	616	2048	27209	-91.551521	41.663925	250700
221000	4/29/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1999	4	Full	Yes	None	1327	0	900	494	0	1327	8000	-91.514298	41.655846	202810
215000	5/1/2005	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1900	2	Full	Yes	None	624	558	0	387	0	1949	7500	-91.521032	41.644198	247260
510000	5/3/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1999	5	Full	Yes	None	2160	0	1050	767	0	2160	37897	-91.515609	41.641951	415370
310000	5/5/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1999	5	Full	Yes	None	1122	28	700	484	0	2546	17225	-91.518528	41.637945	304160
354900	5/6/2005	113 (Condominium)	1 Story Frame	1996	4	Full	Yes	None	1764	0	875	462	0	1764	33500	-91.511255	41.649398	333600
162000	5/9/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1976	3	Full	Yes	None	924	0	400	320	0	924	9280	-91.573942	41.647857	140400
174000	5/10/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1983	4	Full	Yes	None	1442	0	575	0	0	1442	11700	-91.526534	41.657825	178690
286000	5/11/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1995	4	Full	Yes	None	1812	0	1200	480	0	1812	9920	-91.52769	41.650233	276750
89000	5/12/2005	113 (Condominium)	1 Story Condo	2002	2	None	Yes	None	906	0	0	0	220	906	2563	-91.50651	41.658043	83650
125000	5/13/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1950	2	Full	Yes	Fully Finished	832	0	0	0	444	1290	13332	-91.514515	41.657588	137380
173000	5/13/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1994	3	Full	Yes	None	1200	0	650	0	0	1200	8700	-91.471315	41.656746	184390
124900	5/13/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1950	3	None	No	None	1186	0	0	276	0	1186	14225	-91.526534	41.657825	141440
130000	5/16/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	2	Full	No	None	648	36	0	0	0	1332	2336	-91.514858	41.647306	144000
182000	5/16/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1974	4	Full	Yes	None	1332	0	500	0	0	1332	10710	-91.505462	41.632134	166610
146500	5/17/2005	113 (Condominium)	2 Story Frame	1993	2	Full	Yes	None	721	0	175	0	0	1442	3505	-91.510805	41.65046	129530
141900	5/18/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1981	3	Full	Yes	None	1028	0	500	0	0	1028	6600	-91.506163	41.653524	138950
117900	5/18/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1979	3	None	Yes	None	988	0	0	288	0	988	9000	-91.482571	41.660955	111310
226500	5/19/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	2004	4	Full	Yes	None	1222	0	900	468	0	1222	8438	-91.526534	41.657825	224390
94300	5/20/2005	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	906	0	0	0	220	906	2563	-91.565913	41.641145	83430
105000	5/23/2005	113 (Condominium)	2 Story Frame	1983	2	Full	Yes	None	640	0	0	0	0	1280	4072	-91.523864	41.669988	106880
248000	5/24/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1992	4	Full	Yes	None	1582	0	1100	711	0	1582	15060	-91.525092	41.645694	237230
158000	5/25/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	2004	3	Full	Yes	None	872	0	468	0	0	872	8224	-91.525047	41.645963	148030
295500	5/25/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	1963	4	Full	Yes	None	1712	0	825	0	0	1712	12090	-91.514522	41.638232	276560
150000	5/26/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	2000	2	Full	Yes	None	660	0	0	400	0	1348	2781	-91.484452	41.655065	146470
100000	5/27/2005	113 (Condominium)	2 Story Frame	1978	3	Full	Yes	None	612	0	400	0	0	1224	4040	-91.571845	41.642401	109280
157500	5/27/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1955	4	Full	Yes	None	960	0	576	0	480	960	16553	-91.506155	41.632379	153930
71000	5/27/2005	113 (Condominium)	1 Story Frame	1982	2	None	No	None	767	0	0	0	0	767	1749	-91.523965	41.662553	73790
293000	5/29/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	2001	4	Full	Yes	None	890	12	675	728	0	2194	9768	-91.520709	41.638154	281050
160000	5/31/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1920	4	Full	No	None	648	63	0	0	0	1359	2876	-91.520191	41.643343	157880
127500	6/1/2005	101 (Single-Family / Owner Occupied)	1 Story Brick	1951	2	Full	No	None	1064	0	200	0	360	1064	7095	-91.500554	41.647288	138900
175000	6/1/2005	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1900	3	Full	Yes	None	622	144	0	0	192	1261	11100	-91.510289	41.638594	149400
223000	6/1/2005	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1930	3	Full	Yes	None	1022	0	0	200	0	1737	7980	-91.497912	41.647052	203470
99000	6/1/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	2	None	Yes	None	832	0	0	0	336	832	6250	-91.56558	41.640186	90170
213500	6/2/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1974	4	None	Yes	None	664	480	0	440	0	2248	13600	-91.574716	41.645169	226530
152500	6/3/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1978	3	Full	Yes	None	912	0	440	352	0	912	28360	-91.573101	41.642452	145910
123500	6/3/2005	113 (Condominium)	1 Story Brick	1986	3	None	Yes	None	1100	0	0	0	0	1100	5040	-91.513093	41.638652	120300
150000	6/6/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1921	3	Full	Yes	Floor & Stairs	672	72	0	264	0	1416	7500	-91.495741	41.651824	156220
115000	6/7/2005	113 (Condominium)	1 1/2 Story Frame	1984	3	Full	Yes	None	544	0	0	240	0	1093	3000	-91.485562	41.6659	111720
178000	6/8/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	1960	3	Full	Yes	None	1367	0	500	0	0	1367	9440	-91.470964	41.662543	171290
120000	6/9/2005	113 (Condominium)	2 Story Brick	1965	2	Full	Yes	None	504	18	150	0	0	1026	2958	-91.488222	41.652497	121220
130500	6/10/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1960	4	Full	Yes	None	816	340	600	444	0	1156	9750	-91.470867	41.65915	143490
175000	6/10/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1962	5	Full	Yes	None	1092	0	625	720	0	1092	13715	-91.574568	41.644389	174460
255000	6/11/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1971	7	Full	Yes	None	884	288	950	528	0	2090	18332	-91.495742	41.651846	256730
128900	6/13/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1940	2	Full	Yes	None	528	96	0	180	0	1152	3995	-91.519017	41.64281	124380
159900	6/13/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1976	3	Full	Yes	None	1181	0	475	0	0	1181	10160	-91.48623	41.664659	152930
117900	6/14/2005	113 (Condominium)	2 Story Frame	1984	2	Full	Yes	None	573	45	175	0	0	1191	3030	-91.471066	41.658874	113570
114900	6/15/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1935	2	Full	Yes	1/4 Finished	672	0	0	0	240	840	7200	-91.575867	41.648737	109120
204400	6/15/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	2004	4	Full	Yes	None	572	420	525	400	0	1842	7320	-91.575909	41.648581	201520
648750	6/16/2005	101 (Single-Family / Owner Occupied)	2 Story Brick	1928	4	Full	Yes	3/4 Finished	1277	39	0	0	420	3168	24800	-91.513864	41.662005	577050
165000	6/17/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1965	4	Full	Yes	None	1312	0	650	528	0	1312	13850	-91.486119	41.664598	184320
129000	6/19/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1965	3	Full	Yes	None	880	0	500	242	0	880	10050	-91.528006	41.667008	124240
159000	6/20/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1954	2	Full	Yes	None	1274	322	0	0	856	1596	6840	-91.509808	41.63876	164480
146000	6/21/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1983	3	Full	Yes	None	1028	0	450	480	0	1028	9675	-91.486642	41.655328	145570
138000	6/21/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1957	3	None	Yes	None	1208	0	0	264	0	1208	7700	-91.522945	41.66607	137620
200500	6/22/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	1962	4	Full	Yes	None	1227	0	680	0	0	1227	9960	-91.493931	41.642088	209630
148000	6/23/2005	113 (Condominium)	1 Story Condo	2001	2	None	Yes	None	1688	0	0	480	0	1688	9874	-91.506922	41.657311	164770
175000	6/24/2005	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1920	3	Full	No	None	432	378	0	0	400	1112	8745	-91.574573	41.643942	167780
94400	6/24/2005	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	906	0	0	0	220	906	2563	-91.490883	41.643688	87290
147000	6/27/2005	113 (Condominium)	1 Story Frame	1983	3	None	Yes	None	1356	0	0	420	0	1356	8109	-91.513929	41.655911	135020
176400	6/28/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1994	3	Full	Yes	None	375	367	0	420	0	1359	8313	-91.550264	41.652926	163360
280000	6/28/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1982	5	Full	Yes	None	1496	534	1100	528	0	2200	20800	-91.525268	41.662322	264370
136600	6/29/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1972	4	Full	Yes	None	950	0	750	350	0	950	10780	-91.491722	41.660816	138610
155000	6/29/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1972	3	Full	Yes	None	1078	0	300	0	0	1078	7150	-91.524075	41.665931	132430
103500	6/29/2005	113 (Condominium)	1 Story Frame	2001	2	None	Yes	None	943	0	0	0	264	943	3170	-91.572461	41.647045	99010
179900	6/30/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1993	3	Full	Yes	None	1200	0	625	0	0	1200	6800	-91.535005	41.684936	169540
130000	7/1/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1942	2	Full	No	1/2 Finished	676	0	300	0	456	913	6250	-91.545526	41.680948	135670
187000	7/1/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1965	6	Full	Yes	None	1776	0	975	0	0	1776	12090	-91.48378	41.665087	209340
413000	7/1/2005	101 (Single-Family / Owner Occupied)	2 Story Brick	1895	6	Full	Yes	3/4 Finished	1120	120	0	0	484	2984	19700	-91.577441	41.648995	407800
140000	7/5/2005	113 (Condominium)	2 Story Frame	1996	2	Full	Yes	None	684	6	150	0	0	1374	5515	-91.488166	41.660256	139680
285000	7/5/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1983	5	Full	Yes	None	2503	0	725	1065	0	2503	15587	-91.507903	41.635583	259000
176500	7/6/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	2002	3	Full	Yes	None	1219	0	500	0	0	1219	9020	-91.516141	41.657428	177260
123500	7/7/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	3	Full	Yes	None	960	0	0	0	384	960	6000	-91.571216	41.642165	107400
205000	7/7/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1965	3	Full	Yes	None	1042	558	500	576	0	1600	10217	-91.577569	41.644682	209580
188000	7/8/2005	113 (Condominium)	1 Story Frame	2003	3	Full	Yes	None	1099	0	750	440	0	1099	5974	-91.580556	41.649109	180780
136000	7/11/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1971	3	Full	Yes	None	913	0	467	0	0	913	6900	-91.513738	41.652371	132580
132000	7/11/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	2	None	Yes	None	1050	0	0	0	360	1050	5250	-91.508272	41.639016	134200
38250	7/12/2005	113 (Condominium)	1 Story Frame	1977	2	None	Yes	None	912	0	0	0	0	912	1468	-91.489662	41.663137	38590
155000	7/13/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1900	2	Full	Yes	3/4 Finished	896	0	0	0	400	1299	9869	-91.5132	41.630021	137550
207500	7/13/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	2004	3	Full	Yes	None	586	462	0	440	0	1862	9890	-91.511875	41.661631	203340
138500	7/14/2005	113 (Condominium)	2 Story Condo	2002	2	Full	Yes	None	684	7	232	0	0	1375	4628	-91.577255	41.644678	137750
117000	7/15/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1960	4	Full	Yes	None	864	0	550	288	0	864	10050	-91.511527	41.662815	117380
189900	7/15/2005	113 (Condominium)	1 Story Frame	1993	3	Full	Yes	None	1123	0	1000	397	0	1123	6938	-91.515641	41.661779	189790
214000	7/17/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1958	3	Full	Yes	None	1464	0	1200	484	0	1464	19620	-91.554904	41.648389	230700
177000	7/18/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1920	2	Full	Yes	None	690	576	436	0	576	1266	6250	-91.527254	41.635456	201890
168000	7/19/2005	113 (Condominium)	2 Story Frame	2001	3	Full	Yes	None	484	280	600	440	0	1526	5138	-91.493064	41.646273	173160
72000	7/19/2005	113 (Condominium)	1 Story Frame	1983	2	None	No	None	767	0	0	0	0	767	1749	-91.525604	41.662669	73850
455000	7/20/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1942	4	Full	Yes	None	782	544	300	504	0	2542	16815	-91.56251	41.649177	422550
130000	7/21/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1880	4	Full	No	Floor & Stairs	576	224	200	0	0	1376	7710	-91.566863	41.639885	146460
142000	7/22/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1952	2	1/2	Yes	None	1246	0	275	0	240	1246	9600	-91.577674	41.648411	158500
145000	7/22/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1963	3	Full	Yes	None	1104	0	500	0	0	1104	12367	-91.508665	41.665121	143600
135000	7/22/2005	113 (Condominium)	1 Story Frame	1999	2	None	Yes	None	1214	0	0	0	0	1214	5087	-91.494061	41.64229	128480
127000	7/25/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1956	4	Full	No	None	1282	0	0	0	480	1282	6000	-91.48374	41.658984	125970
135000	7/26/2005	113 (Condominium)	2 Story Frame	1995	2	Full	Yes	None	691	0	175	0	0	1382	4980	-91.51949	41.659988	137710
125900	7/26/2005	113 (Condominium)	1 Story Frame	1996	3	None	Yes	None	1406	0	0	0	0	1406	5796	-91.577361	41.647983	126830
192500	7/27/2005	113 (Condominium)	1 Story Frame	1998	3	Full	Yes	None	1273	0	690	420	0	1273	7640	-91.581545	41.648438	194070
135000	7/28/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1919	2	Full	No	None	784	0	0	0	486	784	5300	-91.486157	41.647479	136750
215000	7/28/2005	113 (Condominium)	2 Story Frame	1995	4	Full	Yes	None	888	0	675	440	0	2060	5024	-91.515133	41.653254	211270
99900	7/29/2005	113 (Condominium)	2 Story Frame	1972	3	Full	Yes	None	513	0	250	0	0	1026	2653	-91.515579	41.676499	93810
129400	7/29/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1929	2	Full	No	3/4 Finished	624	0	60	0	0	905	9000	-91.494188	41.652833	128110
262500	7/29/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1950	2	Full	Yes	None	1324	0	725	260	0	1324	7308	-91.519018	41.65364	234080
100500	7/29/2005	113 (Condominium)	1 Story Frame	1997	2	None	Yes	None	873	0	0	0	220	873	5515	-91.562574	41.647038	93670
300000	7/31/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1968	5	Full	Yes	None	924	644	1200	528	0	2492	9295	-91.527146	41.636925	324530
144900	8/1/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1958	3	Full	No	None	1064	0	500	240	0	1064	8000	-91.523499	41.650627	150110
197000	8/1/2005	101 (Single-Family / Owner Occupied)	Split Level Frame	1978	3	Full	Yes	None	1341	0	768	621	0	1341	13311	-91.560317	41.64487	206470
125000	8/1/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	1	None	No	None	384	264	0	0	240	1032	5880	-91.48817	41.652768	103220
765000	8/3/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1996	5	Full	Yes	None	1536	196	825	648	0	3268	26125	-91.576896	41.645065	596940
227000	8/4/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1930	4	Full	Yes	None	858	448	450	0	240	1306	6300	-91.553947	41.652996	231720
148500	8/5/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1984	3	None	Yes	None	504	654	0	520	0	1662	7800	-91.513853	41.628309	161510
198000	8/10/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1969	4	Full	Yes	None	1452	0	760	0	0	1452	14840	-91.519898	41.66788	187480
212000	8/11/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1931	3	Full	Yes	None	864	300	0	360	0	1824	8000	-91.471401	41.659574	243660
170000	8/12/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1971	4	Full	Yes	None	1248	0	375	0	0	1248	7150	-91.565174	41.649508	155540
120900	8/12/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1979	2	None	Yes	None	864	0	0	288	0	864	16219	-91.562674	41.643778	124420
158000	8/15/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1976	3	Full	Yes	None	992	0	650	484	0	992	10120	-91.509055	41.652934	156800
157000	8/15/2005	113 (Condominium)	1 Story Frame	1989	3	None	Yes	None	1374	0	0	420	0	1374	6600	-91.471013	41.661014	148250
242500	8/17/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1900	3	Full	Yes	Floor & Stairs	729	0	400	484	0	1458	24000	-91.497409	41.659794	227470
152000	8/19/2005	113 (Condominium)	2 Story Frame	1998	2	Full	Yes	None	352	284	500	260	0	1200	5515	-91.485409	41.647253	156070
134900	8/22/2005	113 (Condominium)	2 Story Condo	2003	2	None	Yes	None	733	0	0	236	0	1582	4705	-91.480473	41.658907	136430
257000	8/23/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	2004	4	Full	Yes	None	1464	0	1000	658	0	1464	8982	-91.512946	41.660514	243840
165000	8/25/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1975	3	Full	Yes	None	1100	0	530	0	0	1100	8625	-91.515352	41.635157	154990
151500	8/26/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1956	4	Full	Yes	None	948	288	725	0	780	1236	13160	-91.549756	41.65563	157330
191000	8/26/2005	101 (Single-Family / Owner Occupied)	Split Foyer Frame	1970	3	Full	Yes	None	1398	0	650	0	0	1398	17600	-91.474117	41.658023	182060
160000	8/29/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1973	2	Full	Yes	None	1092	0	450	0	0	1092	12995	-91.509305	41.656913	156630
71500	8/30/2005	113 (Condominium)	1 Story Frame	1982	2	None	Yes	None	924	0	0	0	0	924	2840	-91.485849	41.655475	72020
174000	8/31/2005	113 (Condominium)	2 Story Frame	2002	4	Full	Yes	None	484	280	684	440	0	1534	5366	-91.474921	41.658013	176730
248000	9/1/2005	101 (Single-Family / Owner Occupied)	2 Story Frame	1987	4	Full	Yes	None	960	468	700	440	0	2388	44997	-91.473819	41.657987	233310
224900	9/7/2005	101 (Single-Family / Owner Occupied)	1 1/2 Story Frame	1900	3	Full	No	None	672	276	0	0	432	1418	7200	-91.543363	41.669598	160970
124500	9/12/2005	101 (Single-Family / Owner Occupied)	1 Story Frame	1959	3	Full	Yes	None	864	0	400	0	440	864	10050	-91.513799	41.661331	122280
89900	9/14/2005	113 (Condominium)	1 Story Condo	2004	2	None	Yes	None	906	0	0	0	220	906	2563	-91.531748	41.680841	83430
